Date,Open,High,Low,Close,Volume
2017-10-12,149.55999755859375,150.6300048828125,148.89999389648438,150.25999450683594,646900
2017-10-13,150.16000366210938,150.36000061035156,148.85000610351562,149.60000610351562,235800
2017-10-16,149.5800018310547,150.35000610351562,149.02000427246094,149.6699981689453,352500
2017-10-17,149.4600067138672,150.47000122070312,148.60000610351562,149.72999572753906,527800
2017-10-18,149.9499969482422,150.24000549316406,147.52999877929688,147.99000549316406,696700
2017-10-19,148.2899932861328,152.0399932861328,147.27999877929688,151.32000732421875,1509000
2017-10-20,151.60000610351562,152.25999450683594,150.80999755859375,151.72000122070312,692000
2017-10-23,152.24000549316406,152.24000549316406,151.08999633789062,151.77000427246094,537700
2017-10-24,151.3000030517578,151.8699951171875,149.72999572753906,150.86000061035156,704500
2017-10-25,150.75,154.77000427246094,150.75,152.7100067138672,1262800
2017-10-26,153.36000061035156,154.24000549316406,152.00999450683594,153.38999938964844,1266200
2017-10-27,154.0399932861328,156.44000244140625,153.5,155.39999389648438,910700
2017-10-30,155.07000732421875,155.39999389648438,152.72000122070312,154.1699981689453,724100
2017-10-31,153.85000610351562,154.5399932861328,152.08999633789062,153.7100067138672,591600
2017-11-01,153.6300048828125,154.99000549316406,151.00999450683594,151.30999755859375,656100
2017-11-02,151.66000366210938,152.41000366210938,150.91000366210938,151.80999755859375,578400
2017-11-03,152.25,153.88999938964844,152.25,153.74000549316406,462800
2017-11-06,153.2100067138672,154.58999633789062,151.47999572753906,151.74000549316406,467100
2017-11-07,152.22999572753906,152.6999969482422,150.3300018310547,152.38999938964844,603600
2017-11-08,151.8699951171875,153.1199951171875,150.0,151.7899932861328,482900
2017-11-09,151.16000366210938,152.13999938964844,149.3800048828125,152.08999633789062,699700
2017-11-10,151.5500030517578,151.7899932861328,149.83999633789062,150.4600067138672,465700
2017-11-13,149.75,150.5500030517578,149.49000549316406,149.8699951171875,461800
2017-11-14,149.67999267578125,150.52000427246094,148.44000244140625,149.91000366210938,592000
2017-11-15,149.41000366210938,149.85000610351562,148.02000427246094,149.3699951171875,452800
2017-11-16,150.27000427246094,152.0,149.72999572753906,151.02000427246094,590600
2017-11-17,150.44000244140625,151.19000244140625,149.69000244140625,150.36000061035156,468500
2017-11-20,149.25,151.19000244140625,147.6999969482422,150.72000122070312,1371700
2017-11-21,151.3800048828125,153.2899932861328,150.8800048828125,152.83999633789062,621300
2017-11-22,152.82000732421875,153.85000610351562,151.8699951171875,151.91000366210938,554800
2017-11-24,151.72000122070312,152.25,149.38999938964844,151.08999633789062,389400
2017-11-27,150.77999877929688,151.6699981689453,150.27999877929688,151.5500030517578,597400
2017-11-28,151.91000366210938,151.91000366210938,149.94000244140625,151.22000122070312,1120800
2017-11-29,151.24000549316406,157.32000732421875,150.72999572753906,157.02000427246094,1036400
2017-11-30,156.97999572753906,159.5399932861328,155.27999877929688,158.27000427246094,1029700
2017-12-01,158.35000610351562,158.69000244140625,154.9499969482422,156.49000549316406,657900
2017-12-04,156.6199951171875,160.1199951171875,156.50999450683594,157.91000366210938,811500
2017-12-05,155.08999633789062,158.47999572753906,154.69000244140625,155.22000122070312,573400
2017-12-06,155.4499969482422,156.44000244140625,153.41000366210938,155.50999450683594,619600
2017-12-07,155.4499969482422,156.47999572753906,154.6699981689453,155.25999450683594,371200
2017-12-08,155.35000610351562,157.0,155.25,156.25999450683594,672300
2017-12-11,155.67999267578125,157.5399932861328,155.25,155.7899932861328,527400
2017-12-12,156.39999389648438,156.91000366210938,155.25,156.02000427246094,481800
2017-12-13,155.36000061035156,156.77000427246094,154.58999633789062,156.25999450683594,456000
2017-12-14,156.6699981689453,157.89999389648438,155.60000610351562,155.83999633789062,505500
